UUID,UGID,Game Name,Rating
1a0095bf-e0eb-412a-6129c471e8cd,8b67c1b6-5867-4e47-b956-297d07b4a87b,10 Second Ninja X,7
8b2c8d8f-5359-490e-9066-3403954f7b95,8b67c1b6-5867-4e47-b956-297d07b4a87b,10 Second Ninja X,1
8b2c8d8f-5359-490e-9066-3403954f7b95,d97980b5-7015-4af7-840c-cb1f16044e7e,1000 Top Rated,10
bcc1215e-2860-4704-db9c3582ddf9,d97980b5-7015-4af7-840c-cb1f16044e7e,1000 Top Rated,7
df15b69b-c8a2-4c60-83c849eee513,d97980b5-7015-4af7-840c-cb1f16044e7e,1000 Top Rated,2
2f24a062-cc94-45fa-409cd0b9be9f,c7f10767-a873-4567-833d-dba1a6f6d973,1001 Spikes,9
b4669d84-c19f-4008-ee75cc594995,c7f10767-a873-4567-833d-dba1a6f6d973,1001 Spikes,9
e55246bb-1ca0-4666-973f154e0979,c7f10767-a873-4567-833d-dba1a6f6d973,1001 Spikes,10
16a7922f-218a-492a-79fc337fc318,1b1c6ea9-7af0-41c3-9a84-d1f2c5471b31,100ft Robot Golf,6
49a2473f-ec9c-46b6-acc540e85465,1b1c6ea9-7af0-41c3-9a84-d1f2c5471b31,100ft Robot Golf,8
f1275828-6a0b-435a-83db8f594185,1b1c6ea9-7af0-41c3-9a84-d1f2c5471b31,100ft Robot Golf,9
5baa6616-f2e5-4463-a66eb2d86854,cb730af1-d98b-488f-8f06-0b472973dec4,101 Ways to Die,4
7fd4acdf-5184-4a10-c5fb9b8917c9,cb730af1-d98b-488f-8f06-0b472973dec4,101 Ways to Die,5
9447bfb5-3d24-4adf-4dd22db79166,cb730af1-d98b-488f-8f06-0b472973dec4,101 Ways to Die,2
2439a203-2b98-4a85-b4376705889f,4382b9a8-cbae-4e10-b541-72ae204e5b8c,11-11: Memories Retold,3
4047d54d-aab0-4d83-4814f3faf828,4382b9a8-cbae-4e10-b541-72ae204e5b8c,11-11: Memories Retold,6
c579ec59-40c5-43f9-f133db76204f,4382b9a8-cbae-4e10-b541-72ae204e5b8c,11-11: Memories Retold,3
013a5fe8-33d1-4457-86822fa46450,9ac75525-0309-471a-99c9-244968091a45,11-11: Memories Retold - WarChild Charity,8
4ffa49b4-fec6-4596-9673eb961eae,9ac75525-0309-471a-99c9-244968091a45,11-11: Memories Retold - WarChild Charity,2
64e93378-4012-4c0d-e72702b5ef41,9ac75525-0309-471a-99c9-244968091a45,11-11: Memories Retold - WarChild Charity,6
0d637ad0-014a-4fd4-7f423d67c32b,ef744cd6-6f0f-4b4f-95df-75f3ebb9322f,112th Seed,3
15d9f245-4095-4482-ec9c6cd41f8a,ef744cd6-6f0f-4b4f-95df-75f3ebb9322f,112th Seed,2
907ad76e-3dd0-43f5-5d1e8cf3ec64,ef744cd6-6f0f-4b4f-95df-75f3ebb9322f,112th Seed,5
41a09049-08a4-44b2-9c709a598748,b04837f1-6984-4476-aa9d-881f3df5c531,13 Sentinels: Aegis Rim,5
54283217-d239-4dcf-dceb829d688f,b04837f1-6984-4476-aa9d-881f3df5c531,13 Sentinels: Aegis Rim,3
e087499b-d13e-40fc-e02cd706fb2e,b04837f1-6984-4476-aa9d-881f3df5c531,13 Sentinels: Aegis Rim,3
202cba34-3348-40de-c0043d5eed61,4e20b22d-3ef1-433f-9c68-5554358ca939,16-Bit Soccer,3
4e097839-1ac5-424a-c33cd29f384e,4e20b22d-3ef1-433f-9c68-5554358ca939,16-Bit Soccer,4
b1e20510-d57c-43eb-d6c037a86f73,4e20b22d-3ef1-433f-9c68-5554358ca939,16-Bit Soccer,2
23a6a7de-7ed6-43b5-793ae1a607b6,7adcf206-4ed0-400c-80a8-6d26d2a38a79,18 Floors,10
8b2c8d8f-5359-490e-9066-3403954f7b95,7adcf206-4ed0-400c-80a8-6d26d2a38a79,18 Floors,1
a6112239-761a-4e63-540e27c10787,7adcf206-4ed0-400c-80a8-6d26d2a38a79,18 Floors,8
7a2ab0c7-e1df-41ae-8666e0adacab,4e91f55f-1a71-4444-b0ab-59d343c55958,1971 Project Helios,8
8b2c8d8f-5359-490e-9066-3403954f7b95,4e91f55f-1a71-4444-b0ab-59d343c55958,1971 Project Helios,1
8fdf5b75-133f-493b-b66b7646c9b4,4e91f55f-1a71-4444-b0ab-59d343c55958,1971 Project Helios,4
19e39a56-3d92-431c-8301e76a83d3,7e89a557-1785-4b1d-ac2f-ac82b9f0c257,1979 Revolution: Black Friday,8
22748d12-26c3-4ffd-4d2359e1d648,7e89a557-1785-4b1d-ac2f-ac82b9f0c257,1979 Revolution: Black Friday,3
e145f1e8-c25c-4f5b-e9ed2976b65c,7e89a557-1785-4b1d-ac2f-ac82b9f0c257,1979 Revolution: Black Friday,3
49791817-5dc8-4786-dadb70246100,56dba2af-1dd1-4c25-bbdf-e5181f3dcb3f,198X,9
562f9a33-e9d4-445f-54610a6c15d8,56dba2af-1dd1-4c25-bbdf-e5181f3dcb3f,198X,8
b3d6d6c4-9b7e-4e81-7fa71f858d96,56dba2af-1dd1-4c25-bbdf-e5181f3dcb3f,198X,5
24ad773a-b00d-4607-b9c5b28d2812,c70709f4-5cb6-42c8-b759-28dbbec8c3da,2064: Read Only Memories,5
268ef0c1-7d64-4d10-40c6586c7352,c70709f4-5cb6-42c8-b759-28dbbec8c3da,2064: Read Only Memories,2
473cccdc-15b3-4ddb-fe42422e2056,c70709f4-5cb6-42c8-b759-28dbbec8c3da,2064: Read Only Memories,3
0904e718-e549-4e01-1b474f08d58e,982f2d3c-b207-478b-91e7-11612556b8de,20XX,10
647251d8-1efe-42b7-c424a8f93b1a,982f2d3c-b207-478b-91e7-11612556b8de,20XX,5
8af45de4-7299-4508-e7c7bbf4dc8e,982f2d3c-b207-478b-91e7-11612556b8de,20XX,9
8b2c8d8f-5359-490e-9066-3403954f7b95,839b8ed6-5ec4-4feb-9475-c868d3666d4d,2Dark,1
8b2c8d8f-5359-490e-9066-3403954f7b95,839b8ed6-5ec4-4feb-9475-c868d3666d4d,2Dark,1
9bfb7c71-85cc-4169-2bbcdae37661,839b8ed6-5ec4-4feb-9475-c868d3666d4d,2Dark,10
033cdee2-a2fa-4885-f09596de5ad3,1bb20f81-0a83-4fcc-986b-e8bf20ed47d7,2MD VR Football,9
9f431ca1-b3c8-4df7-5e884f1438c6,1bb20f81-0a83-4fcc-986b-e8bf20ed47d7,2MD VR Football,7
cbf3fe36-7e07-4e23-93ea7eeea21a,1bb20f81-0a83-4fcc-986b-e8bf20ed47d7,2MD VR Football,9
4a528115-93b3-4aac-12dab95ae9a3,088dafd4-f55a-4264-989e-34b208f34d4b,36 Fragments of Midnight,7
8b2c8d8f-5359-490e-9066-3403954f7b95,088dafd4-f55a-4264-989e-34b208f34d4b,36 Fragments of Midnight,1
a680be9a-a100-479d-a6a53a27d1ed,088dafd4-f55a-4264-989e-34b208f34d4b,36 Fragments of Midnight,8
8b2c8d8f-5359-490e-9066-3403954f7b95,d0b4e9cc-a975-4458-98b0-ba05faa002c0,39 Days to Mars,1
ce266376-e269-48f4-88af3de6580b,d0b4e9cc-a975-4458-98b0-ba05faa002c0,39 Days to Mars,10
f6b7168b-09a8-40c9-4524645b598a,d0b4e9cc-a975-4458-98b0-ba05faa002c0,39 Days to Mars,7
189e9698-97af-463e-b8bb7b8a7dd5,2ed5baf8-b836-47fa-98a2-fae61657a26c,3D Billiards,5
bdfe7a64-4777-4c1d-78946de14d7a,2ed5baf8-b836-47fa-98a2-fae61657a26c,3D Billiards,7
dd1cb0ac-888d-4060-575f0372bced,2ed5baf8-b836-47fa-98a2-fae61657a26c,3D Billiards,1
38285cf7-6449-4185-ebd870e87fa2,bdcc843d-6c55-4e86-8fe7-7488d198a4ee,3D Billiards: Billards & Snooker,4
7ddbf86a-2eb2-43c4-7a569adbb2eb,bdcc843d-6c55-4e86-8fe7-7488d198a4ee,3D Billiards: Billards & Snooker,10
ea6abd44-bcc8-41e3-3e243c1aa316,bdcc843d-6c55-4e86-8fe7-7488d198a4ee,3D Billiards: Billards & Snooker,10
6d557434-4d72-4722-12f86f307362,1612b510-f249-4458-b698-ef4c0668ee94,3D Mini Golf,10
c527fe8d-2a7b-48b7-adec0b836181,1612b510-f249-4458-b698-ef4c0668ee94,3D Mini Golf,3
cd775dc3-cd59-4428-a70f4428adba,1612b510-f249-4458-b698-ef4c0668ee94,3D Mini Golf,9
e75c49fc-ab89-4e6d-97eb2f960b02,93b0486b-49e6-45e5-94df-c060c75a1714,3D MiniGolf,2
e805213d-bf13-4e69-7ac2c36a31a1,93b0486b-49e6-45e5-94df-c060c75a1714,3D MiniGolf,1
fc35361f-2bbc-4e9d-b191-98f4686933f8,93b0486b-49e6-45e5-94df-c060c75a1714,3D MiniGolf,3
98e7dd8b-2613-4683-11b037cb3795,6484d935-c705-4a37-9d47-a4aad7b36c55,3M SPAIN FOUNDATION - STEM+VR,7
d359a6fb-85e8-4114-f45aaaa536d9,6484d935-c705-4a37-9d47-a4aad7b36c55,3M SPAIN FOUNDATION - STEM+VR,10
d7bb319d-c9ff-4195-5fe6c53f02ce,6484d935-c705-4a37-9d47-a4aad7b36c55,3M SPAIN FOUNDATION - STEM+VR,7
02f0680f-f59a-4696-afa5e0102e36,e3be449c-6040-4c3b-b1b6-86340f32890a,3on3 Freestyle,8
bbcb7738-f092-40b6-e4c8f6984261,e3be449c-6040-4c3b-b1b6-86340f32890a,3on3 Freestyle,6
ed7d8215-b7d1-4dcb-0a7ae07d132c,e3be449c-6040-4c3b-b1b6-86340f32890a,3on3 Freestyle,4
0e27d3bb-377a-4fef-3f60f6ab973c,355d6000-81be-4782-92ab-993607a2d0b5,428: Shibuya Scramble,6
5e91fca9-86ff-4b2f-d9ea8bc1ed19,355d6000-81be-4782-92ab-993607a2d0b5,428: Shibuya Scramble,4
8b1dfaeb-372e-437d-bd59ec668e68,355d6000-81be-4782-92ab-993607a2d0b5,428: Shibuya Scramble,6
0b817cc5-c5f1-4b1c-cdd5b114a9bb,09b1cc29-7589-41ae-b51e-947eef568519,5 Star Wrestling: ReGenesis,1
88a39b61-9cc9-4d8d-91a7a155f40c,09b1cc29-7589-41ae-b51e-947eef568519,5 Star Wrestling: ReGenesis,8
a51e3790-042b-48e0-e68e6dfcf627,09b1cc29-7589-41ae-b51e-947eef568519,5 Star Wrestling: ReGenesis,9
a1003558-0d9f-432d-17d58f40fc0e,2433ce5d-db41-410b-8587-e8e341b35048,60 Parsecs!,7
c1680e18-37c7-4de1-edf264a47a7a,2433ce5d-db41-410b-8587-e8e341b35048,60 Parsecs!,4
c1f17794-2321-4b6c-ef190c6ebcb3,2433ce5d-db41-410b-8587-e8e341b35048,60 Parsecs!,9
35eb7ebe-e38a-4366-0f0caa3e7117,3a7154dd-f31c-4e31-bf90-d6aed0231893,60 Seconds!,8
5e851508-e24d-4f63-1f2177cac7fe,3a7154dd-f31c-4e31-bf90-d6aed0231893,60 Seconds!,3
da159d1e-3afc-4734-2b506cf667c7,3a7154dd-f31c-4e31-bf90-d6aed0231893,60 Seconds!,8
3184ad96-8cc5-4486-802b57d72a41,dbdfa41f-ee83-400f-8010-51f125038ef7,60 Seconds! Reatomized,4
5b836436-ff4a-4f77-4a53a6bacac1,dbdfa41f-ee83-400f-8010-51f125038ef7,60 Seconds! Reatomized,8
fc35361f-2bbc-4e9d-b191-98f4686933f8,dbdfa41f-ee83-400f-8010-51f125038ef7,60 Seconds! Reatomized,6
34fb1003-a35b-4e6a-ca1998285a24,e458f0dc-c1b2-458a-b681-7d4c18898cad,7 Days to Die,1
7af7f1d0-3c89-4f6b-be2ba41f197a,e458f0dc-c1b2-458a-b681-7d4c18898cad,7 Days to Die,2
b378f410-8b1b-4cd4-69d2f199672b,e458f0dc-c1b2-458a-b681-7d4c18898cad,7 Days to Die,3
4eedd3fe-34a1-47d0-56b78e3f598b,b8d73128-9cbc-4f49-8b0a-9363ac91e3fc,7th Sector,10
c9c8a27b-8794-4bc1-f6f29ad36b24,b8d73128-9cbc-4f49-8b0a-9363ac91e3fc,7th Sector,3
cf700556-8a8c-4a8c-5625309fc241,b8d73128-9cbc-4f49-8b0a-9363ac91e3fc,7th Sector,1
0076ca01-0a84-46bf-29895aa9dddc,21510772-f9da-48ef-991b-ed685eae1717,8 to Glory: The Official Game of the PBR,8
d6aecf82-6e3d-4609-7a8497f5750d,21510772-f9da-48ef-991b-ed685eae1717,8 to Glory: The Official Game of the PBR,2
fc2a1520-1d18-47e1-cb374f21a136,21510772-f9da-48ef-991b-ed685eae1717,8 to Glory: The Official Game of the PBR,10
0dcb8985-d6d5-4e31-e6147c7f60f2,42aac65f-aa06-4925-bdf9-30d302d3309e,88 Heroes,2
83173e64-5abf-47a2-50ec64e7e308,42aac65f-aa06-4925-bdf9-30d302d3309e,88 Heroes,4
f3251008-02d2-46b7-473d5d78f75c,42aac65f-aa06-4925-bdf9-30d302d3309e,88 Heroes,4
57b762c0-7acd-4703-1cae40ac4246,5e5d9d98-7373-4942-a521-36b7db044b78,88 Heroes: H8 Mode Activate!,1
a3dbee2b-a042-44ea-a0b74c648a50,5e5d9d98-7373-4942-a521-36b7db044b78,88 Heroes: H8 Mode Activate!,1
af5a563a-ee7e-421a-ca3358de1e46,5e5d9d98-7373-4942-a521-36b7db044b78,88 Heroes: H8 Mode Activate!,2
16849f19-1532-47fe-d08f41840e3e,f5db22ec-91ed-4af5-8b8d-31200cf80568,88 Heroes: RSG Champions,5
2f351bba-a65f-4b41-b823e9483aa1,f5db22ec-91ed-4af5-8b8d-31200cf80568,88 Heroes: RSG Champions,4
3918ec44-3c5d-42a7-619e27214076,f5db22ec-91ed-4af5-8b8d-31200cf80568,88 Heroes: RSG Champions,5
2991f3d0-5dd9-4edb-9cb69933ce77,34783924-accd-4206-941f-922c907bc712,8-Bit Adventure Anthology: Volume One,7
7a6e7333-c2c0-4c6a-7490b7bde5ca,34783924-accd-4206-941f-922c907bc712,8-Bit Adventure Anthology: Volume One,8
a0728a02-3ac0-4845-3835bf784949,34783924-accd-4206-941f-922c907bc712,8-Bit Adventure Anthology: Volume One,3
0777ccb1-0a79-40c2-36f7f81eace5,c5653854-e69b-4f44-b174-3beb2f03a175,8-Bit Armies,4
979e1310-6cc9-4965-105d6d347b51,c5653854-e69b-4f44-b174-3beb2f03a175,8-Bit Armies,2
ca527d0e-6e9c-4619-6be68515fbef,c5653854-e69b-4f44-b174-3beb2f03a175,8-Bit Armies,6
4117f743-554f-4d7a-8419da348371,7f53793d-61c3-4a3d-a85f-d1bae19cdee9,8-Bit Hordes,7
92c55357-9777-4631-9ab3060b1aad,7f53793d-61c3-4a3d-a85f-d1bae19cdee9,8-Bit Hordes,9
fc35361f-2bbc-4e9d-b191-98f4686933f8,7f53793d-61c3-4a3d-a85f-d1bae19cdee9,8-Bit Hordes,7
6ee7f02b-07d8-49a1-4901bcb56bec,1cdbca94-7454-40c0-ab41-2f4440242162,8-Bit Invaders!,7
9f43d5de-ec15-4d86-df327598c2e2,1cdbca94-7454-40c0-ab41-2f4440242162,8-Bit Invaders!,2
db8692bc-5446-460e-0e6fa0cd9ca5,1cdbca94-7454-40c0-ab41-2f4440242162,8-Bit Invaders!,5
2964306e-6564-4dce-edf30b6c597c,8625ebb3-a1b7-4ee3-bd16-8053ab8f300f,8DAYS,6
e703f45b-6523-4c99-8566-3ce7775cb73e,8625ebb3-a1b7-4ee3-bd16-8053ab8f300f,8DAYS,5
f3ba16a5-da16-4caa-597e37e6ddb8,8625ebb3-a1b7-4ee3-bd16-8053ab8f300f,8DAYS,2
39edcd6b-dd39-4d00-4616b95d9a0f,80176c5f-82dc-4514-9828-fc45b9bf5758,9 Monkeys of Shaolin,3
cb810836-fdbe-4875-f17b71e48232,80176c5f-82dc-4514-9828-fc45b9bf5758,9 Monkeys of Shaolin,3
dd7d9c2f-f22f-4d5c-eab1c0fb55db,80176c5f-82dc-4514-9828-fc45b9bf5758,9 Monkeys of Shaolin,6
73d6c024-f71b-4798-d60a5ec0569f,b11b8ce7-403f-48ef-ab7b-dade978263fd,911 Operator,5
8fe7f9e0-f400-4c11-96f314ebe356,b11b8ce7-403f-48ef-ab7b-dade978263fd,911 Operator,10
f93c6bad-2e7c-4fcc-e2ea1609475c,b11b8ce7-403f-48ef-ab7b-dade978263fd,911 Operator,6
07d146b5-dd25-413d-7484a1cfc2ff,247788c9-d650-475a-8d9e-662067cb0d2a,99Vidas,3
44bf106c-0ee0-406c-1ca1ffdc9645,247788c9-d650-475a-8d9e-662067cb0d2a,99Vidas,2
c59fd06b-f160-4b38-de2c6bb192df,247788c9-d650-475a-8d9e-662067cb0d2a,99Vidas,6
0d7ad56d-d0e3-498a-6e578ed8fd4c,584a8794-c385-45ad-a348-854915547722,A Bastard's Tale,3
1dbe4b84-25fd-42ea-cac5a1cea253,584a8794-c385-45ad-a348-854915547722,A Bastard's Tale,4
6e8e8286-57b5-41b4-c4ea7fe6e64f,584a8794-c385-45ad-a348-854915547722,A Bastard's Tale,7
2e80a3ce-e327-40f9-79aada4fbe26,dd5c6479-3227-4011-88e1-1db01125226a,A Boy and His Blob,2
5873ff02-9f8e-48f2-38d7d8e078cb,dd5c6479-3227-4011-88e1-1db01125226a,A Boy and His Blob,3
7785fd40-86a3-45da-188afa411b40,dd5c6479-3227-4011-88e1-1db01125226a,A Boy and His Blob,1
1bc38983-feb3-4857-f648c930fcea,20c99565-c163-4068-823b-22124404b7ab,A Chair in a Room: Greenwater,6
5866e5fa-024d-484a-2eab6a156641,20c99565-c163-4068-823b-22124404b7ab,A Chair in a Room: Greenwater,1
af7693e1-d0f0-4c50-f559f5caca6e,20c99565-c163-4068-823b-22124404b7ab,A Chair in a Room: Greenwater,8
1d336fd3-1f9c-43a0-cd084414eb61,c512ccf4-2b99-4e43-b43c-731889246660,A Fisherman's Tale,2
4107264d-27d7-4e56-87ad-50f1c43e9f98,c512ccf4-2b99-4e43-b43c-731889246660,A Fisherman's Tale,10
02827be9-59e8-4462-a09f-1a186911d019,e9db6f05-83ab-4c0b-8b97-1977743eef54,A Fold Apart,3
43a20531-d251-494d-8107-51847e995660,e9db6f05-83ab-4c0b-8b97-1977743eef54,A Fold Apart,1
4f26be8d-f00a-4444-a446-be32fbd92128,e9db6f05-83ab-4c0b-8b97-1977743eef54,A Fold Apart,10
16e627fb-c873-4468-9d7e-e1a1490090be,fa19b56d-6087-4877-a54d-78796b8045aa,A Hat in Time,4
35667445-0c0c-4c13-890e-3751f3e26d8a,fa19b56d-6087-4877-a54d-78796b8045aa,A Hat in Time,8
ad9864b4-5a01-4529-a680-c82e601a9e2d,fa19b56d-6087-4877-a54d-78796b8045aa,A Hat in Time,2
fbafa107-1a9d-47d5-b2cd-ea5babb7cbda,fa19b56d-6087-4877-a54d-78796b8045aa,A Hat in Time,7
2f5f8476-45d1-4a64-9f08-f5fbb8d0390e,d76246d0-7a16-4ef4-b592-81f0231ed6ec,A Healer Only Lives Twice,7
338e2d76-f41b-435f-b741-7b515091ee7a,d76246d0-7a16-4ef4-b592-81f0231ed6ec,A Healer Only Lives Twice,4
9a5f3ddd-fafb-4429-be71-f049ba02a786,d76246d0-7a16-4ef4-b592-81f0231ed6ec,A Healer Only Lives Twice,10
ad388f69-5341-4db2-8492-b558bb60c5b3,9527a7c9-2d21-45b5-9b0c-a4042f8f876f,A Hero and a Garden,5
adcece0c-3412-44a4-b5b9-afaa23b40a31,9527a7c9-2d21-45b5-9b0c-a4042f8f876f,A Hero and a Garden,1
bebe1d5a-532b-4867-bf07-300e3bd1a922,9527a7c9-2d21-45b5-9b0c-a4042f8f876f,A Hero and a Garden,9
88801e66-6e70-4c6f-b952-f228042f3ab8,4c3b5042-87ca-4141-a902-9e74d99dd7c0,A Hole New World,9
af81d785-beac-4a49-8062-1628b10cf9e7,4c3b5042-87ca-4141-a902-9e74d99dd7c0,A Hole New World,6
e8c14ebc-44f3-4e10-a1d3-c394ecb0825b,4c3b5042-87ca-4141-a902-9e74d99dd7c0,A Hole New World,1
8f9eeed9-5d39-48ca-ac26-fd06e7f3bf30,f7d47e62-91a9-46d9-ac3c-ac8280d2d536,A King's Tale: Final Fantasy XV,9
a2f521a8-c72d-471c-b5ce-731b52284369,f7d47e62-91a9-46d9-ac3c-ac8280d2d536,A King's Tale: Final Fantasy XV,4
fc35361f-2bbc-4e9d-b191-98f4686933f8,f7d47e62-91a9-46d9-ac3c-ac8280d2d536,A King's Tale: Final Fantasy XV,2
60de7dcc-7a62-4e7f-a550-4e97f6db271f,7643ff19-9788-4fe5-9423-c185ddc0c4cf,A Knight's Quest,9
a3ffb87d-29c9-42c4-bb3d-d2bf16aa0401,7643ff19-9788-4fe5-9423-c185ddc0c4cf,A Knight's Quest,10
bb3f3735-55ad-4ecd-bce5-e9629f8206db,7643ff19-9788-4fe5-9423-c185ddc0c4cf,A Knight's Quest,8
26ff04aa-c97a-4178-bf95-65d612606a42,51547f66-ce3e-4e96-bf70-1b20c57d1835,A Pixel Story,7
d02fc8af-8a8a-4a21-b594-38b40ddd63a6,51547f66-ce3e-4e96-bf70-1b20c57d1835,A Pixel Story,3
ee4ffb5d-3fe9-44c4-925a-d5ebca65a0e9,51547f66-ce3e-4e96-bf70-1b20c57d1835,A Pixel Story,10
4dc2b2ec-ef3e-43e7-aa72-d21cea9a0ee4,1e1e21c8-ced2-457f-9b22-0da5d27d206e,A Plague Tale: Innocence,5
8dc01446-4bd8-4bd0-8475-976b5ceb26de,1e1e21c8-ced2-457f-9b22-0da5d27d206e,A Plague Tale: Innocence,7
f91571fa-a728-49cb-a13c-bfc3f78f7e71,1e1e21c8-ced2-457f-9b22-0da5d27d206e,A Plague Tale: Innocence,8
05366c01-b85e-4677-bb53-c18b2f54976d,673f1374-1ea9-48ef-8cca-dc86e1d3d0d2,A Room Where Art Conceals,9
284e2e66-12e1-4572-9840-927922fe1235,673f1374-1ea9-48ef-8cca-dc86e1d3d0d2,A Room Where Art Conceals,7
eb2b9043-8b43-4de8-9674-97b0c46d3f66,673f1374-1ea9-48ef-8cca-dc86e1d3d0d2,A Room Where Art Conceals,7
209eeb20-8f75-4576-9c06-5fe02ab85a16,7f2961a9-e3f7-48fc-8784-739f6557d2e3,A Summer with the Shiba Inu,5
bc9af498-7a5d-423c-b592-fb33f54fe573,7f2961a9-e3f7-48fc-8784-739f6557d2e3,A Summer with the Shiba Inu,8
d2bfa8cd-4aaa-4986-b478-51354e9436ae,7f2961a9-e3f7-48fc-8784-739f6557d2e3,A Summer with the Shiba Inu,5
ad37e6ef-4db3-4f19-9e28-cd12cdbc9ed3,61854bc9-ebd1-4c5b-b914-f4bcc1e528b9,A Tale of Paper,4
b3a59eb3-a1cb-4758-bd88-10ca4325d66c,61854bc9-ebd1-4c5b-b914-f4bcc1e528b9,A Tale of Paper,9
b8448b01-11d7-4201-ab62-6b17c917f807,61854bc9-ebd1-4c5b-b914-f4bcc1e528b9,A Tale of Paper,8
7247f990-b929-4c94-8ae2-7d6c4a7aba3d,6326a4ec-fb95-4e06-acb3-237738dec6ae,A Way Out,1
867799ec-7176-4027-871c-996205fd7c36,6326a4ec-fb95-4e06-acb3-237738dec6ae,A Way Out,4
d4756a54-fd07-4ae8-bcb8-b577caa2d7f2,6326a4ec-fb95-4e06-acb3-237738dec6ae,A Way Out,10
44db3496-b818-43e6-8082-40c544ff7312,cf53ae7c-5d70-4b9a-bc54-55b3a56eb1a0,A Winter's Daydream,6
d3649169-a3b4-47b4-a2a4-5f56f35c8050,cf53ae7c-5d70-4b9a-bc54-55b3a56eb1a0,A Winter's Daydream,5
fc35361f-2bbc-4e9d-b191-98f4686933f8,cf53ae7c-5d70-4b9a-bc54-55b3a56eb1a0,A Winter's Daydream,9
33baf49a-c2c5-467a-b9db-e2e69f749755,d2fcec2e-f127-46ed-8336-aa253fc1d55c,Aaero,2
ce307411-646b-45c2-8f14-1081a7122796,d2fcec2e-f127-46ed-8336-aa253fc1d55c,Aaero,5
edd71422-f07d-4f53-9274-56832d295281,d2fcec2e-f127-46ed-8336-aa253fc1d55c,Aaero,8
56607f6c-8612-4c09-b6c4-05ea77efb8bf,a8bbc6d0-f505-4bd7-b333-24e4e05076d3,Aaru's Awakening,8
8d04da48-ef88-4081-a220-0b84a3217c09,a8bbc6d0-f505-4bd7-b333-24e4e05076d3,Aaru's Awakening,6
dbfcbef1-0158-412b-8a3f-a0c5c0a1f614,a8bbc6d0-f505-4bd7-b333-24e4e05076d3,Aaru's Awakening,6
41f57477-cf6c-43a8-8a65-a7413e60db5c,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,2
43f7b532-fd65-4d83-98fa-4792a2f6525d,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,10
5194edac-019c-4c78-9933-99cffc85d78f,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,2
5e5f69dd-5ed4-40c7-ac1e-e5b4aa289011,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,2
6879835e-d281-464f-8298-e6c3c8b8730a,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,1
945a0d01-0b06-4f27-b1e6-336360ca6749,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,8
b08d83ff-a507-4694-b428-a7f67645ad81,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,7
b1eeecf6-9522-48a2-a1df-0f892a56d8c8,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,10
dc92b415-afd4-4fb1-aa89-510dfc45477a,ce6feddd-5444-4984-ac71-8c1bcf5bb2ac,Abo Khashem,6
